Clinical Commissioning Group (CCG),CCG code,org_cd,Region,% percentage of children referred to CYPMHS,Average waiting time before treatment (days),% of referrals closed before treatment,CCG overall score,no_referred_2021
ENGLAND,,,,0.04,32,0.24,,"497,502"
NHS BARKING AND DAGENHAM CCG,E38000004,07L,London,0.03,18,0.14,17,"1,670"
NHS BARNSLEY CCG,E38000006,02P,North East and Yorkshire,0.03,22,0.41,16,"1,585"
NHS BASILDON AND BRENTWOOD CCG,E38000007,99E,East of England,0.04,7,0.32,13,"2,300"
NHS BASSETLAW CCG,E38000008,02Q,North East and Yorkshire,0.03,41,0.29,11,800
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",E38000231,92G,South West,0.04,27,0.22,18,"7,170"
NHS BEDFORDSHIRE CCG,E38000010,06F,East of England,0.06,26,0.22,20,"6,515"
NHS BERKSHIRE WEST CCG,E38000221,15A,South East,0.04,27,0.19,20,"4,930"
NHS BIRMINGHAM AND SOLIHULL CCG,E38000220,15E,Midlands,0.04,30,0.34,17,"12,455"
NHS BLACKBURN WITH DARWEN CCG,E38000014,00Q,North West,0.04,18,0.21,17,"1,555"
NHS BLACKPOOL CCG,E38000015,00R,North West,0.07,59,0.27,15,"1,985"
NHS BOLTON CCG,E38000016,00T,North West,0.04,26,0.21,17,"2,675"
NHS BRADFORD DISTRICT AND CRAVEN CCG,E38000232,36J,North East and Yorkshire,0.04,25,0.14,16,"5,275"
NHS BRENT CCG,E38000020,07P,London,0.02,43,0.3,10,"1,790"
NHS BRIGHTON AND HOVE CCG,E38000021,09D,South East,0.04,40,0.23,19,"2,210"
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",E38000222,15C,South West,0.03,24,0.2,13,"5,045"
NHS BUCKINGHAMSHIRE CCG,E38000223,14Y,South East,0.05,27,0.1,17,"6,120"
NHS BURY CCG,E38000024,00V,North West,0.06,41,0.36,18,"2,600"
NHS CALDERDALE CCG,E38000025,02T,North East and Yorkshire,0.05,22,0.34,11,"2,240"
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,E38000026,06H,East of England,0.05,34,0.33,11,"9,150"
NHS CANNOCK CHASE CCG,E38000028,04Y,Midlands,0.05,81,0.37,16,"1,315"
NHS CASTLE POINT AND ROCHFORD CCG,E38000030,99F,East of England,0.03,6,0.38,13,"1,115"
NHS CENTRAL LONDON (WESTMINSTER) CCG,E38000031,09A,London,0.02,28,0.16,19,815
NHS CHESHIRE CCG,E38000233,27D,North West,0.04,39,0.21,14,"5,390"
NHS CHORLEY AND SOUTH RIBBLE CCG,E38000034,00X,North West,0.04,54,0.21,14,"1,495"
NHS CITY AND HACKNEY CCG,E38000035,07T,London,0.05,29,0.21,21,"3,000"
NHS COUNTY DURHAM CCG,E38000234,84H,North East and Yorkshire,0.06,27,0.18,20,"5,980"
NHS COVENTRY AND RUGBY CCG,E38000038,05A,Midlands,0.04,47,0.25,8,"3,890"
NHS DERBY AND DERBYSHIRE CCG,E38000229,15M,Midlands,0.04,45,0.17,15,"8,615"
NHS DEVON CCG,E38000230,15N,South West,0.05,41,0.11,16,"10,265"
NHS DONCASTER CCG,E38000044,02X,North East and Yorkshire,0.03,17,0.32,16,"2,145"
NHS DORSET CCG,E38000045,11J,South West,0.03,36,0.3,11,"4,555"
NHS DUDLEY CCG,E38000046,05C,Midlands,0.04,46,0.29,17,"3,015"
NHS EALING CCG,E38000048,07W,London,0.02,15,0.26,12,"1,570"
NHS EAST AND NORTH HERTFORDSHIRE CCG,E38000049,06K,East of England,0.04,18,0.41,16,"4,760"
NHS EAST BERKSHIRE CCG,E38000224,15D,South East,0.04,27,0.15,17,"4,060"
NHS EAST LANCASHIRE CCG,E38000050,01A,North West,0.03,19,0.24,18,"2,780"
NHS EAST LEICESTERSHIRE AND RUTLAND CCG,E38000051,03W,Midlands,0.03,9,0.15,14,"2,400"
NHS EAST RIDING OF YORKSHIRE CCG,E38000052,02Y,North East and Yorkshire,0.04,41,0.41,9,"2,190"
NHS EAST STAFFORDSHIRE CCG,E38000053,05D,Midlands,0.04,48,0.31,15,"1,235"
NHS EAST SUSSEX CCG,E38000235,97R,South East,0.04,36,0.08,15,"3,885"
NHS FAREHAM AND GOSPORT CCG,E38000059,10K,South East,0.06,63,0.22,16,"2,335"
NHS FYLDE AND WYRE CCG,E38000226,02M,North West,0.04,63,0.23,14,"1,515"
NHS GLOUCESTERSHIRE CCG,E38000062,11M,South West,0.04,41,0.27,9,"5,615"
NHS GREATER HUDDERSFIELD CCG,E38000064,03A,North East and Yorkshire,0.05,15,0.11,17,"2,680"
NHS GREATER PRESTON CCG,E38000227,01E,North West,0.04,50,0.25,10,"1,605"
NHS HALTON CCG,E38000068,01F,North West,0.04,20,0.25,12,"1,020"
NHS HAMMERSMITH AND FULHAM CCG,E38000070,08C,London,0.03,36,0.19,17,"1,110"
NHS HARROW CCG,E38000074,08E,London,0.03,41,0.24,11,"1,580"
NHS HAVERING CCG,E38000077,08F,London,0.03,34,0.23,12,"1,650"
NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,E38000236,18C,Midlands,0.04,46,0.2,14,"5,430"
NHS HERTS VALLEYS CCG,E38000079,06N,East of England,0.04,27,0.31,17,"6,235"
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",E38000080,01D,North West,0.05,21,0.18,23,"2,895"
NHS HILLINGDON CCG,E38000082,08G,London,0.02,43,0.26,11,"1,660"
NHS HOUNSLOW CCG,E38000084,07Y,London,0.02,28,0.25,13,"1,565"
NHS HULL CCG,E38000085,03F,North East and Yorkshire,0.06,35,0.4,14,"3,165"
NHS IPSWICH AND EAST SUFFOLK CCG,E38000086,06L,East of England,0.05,24,0.22,20,"4,275"
NHS ISLE OF WIGHT CCG,E38000087,10L,South East,0.06,56,0.18,20,"1,425"
NHS KENT AND MEDWAY CCG,E38000237,91Q,South East,0.05,30,0.39,14,"18,860"
NHS KERNOW CCG,E38000089,11N,South West,0.03,27,0.38,15,"3,605"
NHS KNOWSLEY CCG,E38000091,01J,North West,0.04,30,0.3,11,"1,295"
NHS LEEDS CCG,E38000225,15F,North East and Yorkshire,0.04,52,0.08,12,"7,150"
NHS LEICESTER CITY CCG,E38000097,04C,Midlands,0.03,13,0.19,17,"2,110"
NHS LINCOLNSHIRE CCG,E38000238,71E,Midlands,0.04,26,0.26,11,"6,150"
NHS LIVERPOOL CCG,E38000101,99A,North West,0.06,25,0.08,21,"6,030"
NHS LUTON CCG,E38000102,06P,East of England,0.04,27,0.16,20,"2,075"
NHS MANCHESTER CCG,E38000217,14L,North West,0.07,39,0.25,18,"8,530"
NHS MID ESSEX CCG,E38000106,06Q,East of England,0.03,9,0.35,9,"2,580"
NHS MILTON KEYNES CCG,E38000107,04F,East of England,0.03,13,0.1,18,"2,395"
NHS MORECAMBE BAY CCG,E38000228,01K,North West,0.05,49,0.23,13,"3,020"
NHS NEWCASTLE GATESHEAD CCG,E38000212,13T,North East and Yorkshire,0.05,40,0.18,17,"4,400"
NHS NEWHAM CCG,E38000113,08M,London,0.03,17,0.11,18,"2,405"
NHS NORFOLK AND WAVENEY CCG,E38000239,26A,East of England,0.05,39,0.3,18,"9,495"
NHS NORTH CENTRAL LONDON CCG,E38000240,93C,London,0.03,32,0.13,19,"10,665"
NHS NORTH CUMBRIA CCG,E38000215,01H,North East and Yorkshire,0.06,35,0.32,16,"3,290"
NHS NORTH EAST ESSEX CCG,E38000117,06T,East of England,0.04,9,0.25,14,"2,935"
NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,E38000118,99M,South East,0.05,67,0.25,18,"2,430"
NHS NORTH EAST LINCOLNSHIRE CCG,E38000119,03H,North East and Yorkshire,0.04,26,0.22,22,"1,515"
NHS NORTH HAMPSHIRE CCG,E38000120,10J,South East,0.05,74,0.23,15,"2,335"
NHS NORTH KIRKLEES CCG,E38000121,03J,North East and Yorkshire,0.05,17,0.11,16,"2,170"
NHS NORTH LINCOLNSHIRE CCG,E38000122,03K,North East and Yorkshire,0.04,29,0.22,12,"1,435"
NHS NORTH STAFFORDSHIRE CCG,E38000126,05G,Midlands,0.05,27,0.31,13,"2,060"
NHS NORTH TYNESIDE CCG,E38000127,99C,North East and Yorkshire,0.05,42,0.23,15,"1,905"
NHS NORTH YORKSHIRE CCG,E38000241,42D,North East and Yorkshire,0.04,26,0.22,13,"3,290"
NHS NORTHAMPTONSHIRE CCG,E38000242,78H,Midlands,0.03,36,0.12,14,"4,930"
