"pop_2018","ccg"
11954618,"ENGLAND"
151260,"NHS BRADFORD DISTRICT AND CRAVEN CCG"
404531,"NHS KENT AND MEDWAY CCG"
973532,"NHS NORTH EAST LONDON CCG"
330677,"NHS NORTH CENTRAL LONDON CCG"
101454,"NHS BARNSLEY CCG"
118068,"NHS BASILDON AND BRENTWOOD CCG"
46448,"NHS BASSETLAW CCG"
193437,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG"
459130,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG"
397033,"NHS SOUTH EAST LONDON CCG"
76962,"NHS BLACKBURN WITH DARWEN CCG"
57808,"NHS BLACKPOOL CCG"
135340,"NHS BOLTON CCG"
938588,"NHS NORTH WEST LONDON CCG"
102010,"NHS BRIGHTON AND HOVE CCG"
86284,"NHS BURY CCG"
92042,"NHS CALDERDALE CCG"
389772,"NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG"
54556,"NHS CANNOCK CHASE CCG"
67950,"NHS CASTLE POINT AND ROCHFORD CCG"
73742,"NHS CHORLEY AND SOUTH RIBBLE CCG"
166368,"NHS NORTHAMPTONSHIRE CCG"
389844,"NHS COVENTRY AND WARWICKSHIRE CCG"
174672,"NHS WEST SUSSEX CCG"
338251,"NHS SOUTH WEST LONDON CCG"
146120,"NHS TEES VALLEY CCG"
132896,"NHS DONCASTER CCG"
286520,"NHS DORSET CCG"
655212,"NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
101040,"NHS COUNTY DURHAM CCG"
250598,"NHS EAST AND NORTH HERTFORDSHIRE CCG"
171304,"NHS EAST LANCASHIRE CCG"
136952,"NHS EAST LEICESTERSHIRE AND RUTLAND CCG"
117788,"NHS EAST RIDING OF YORKSHIRE CCG"
55434,"NHS EAST STAFFORDSHIRE CCG"
229933,"NHS SURREY HEARTLANDS CCG"
106378,"NHS EAST SUSSEX CCG"
144577,"NHS CHESHIRE CCG"
644670,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
256272,"NHS GLOUCESTERSHIRE CCG"
193566,"NHS NORFOLK AND WAVENEY CCG"
200348,"NHS KIRKLEES CCG"
57234,"NHS HALTON CCG"
81506,"NHS NORTH YORKSHIRE CCG"
153886,"NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG"
283086,"NHS HERTS VALLEYS CCG"
105378,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG"
114046,"NHS HULL CCG"
165300,"NHS IPSWICH AND EAST SUFFOLK CCG"
216356,"NHS KERNOW CCG"
66954,"NHS KNOWSLEY CCG"
167988,"NHS LEICESTER CITY CCG"
145641,"NHS LINCOLNSHIRE CCG"
189804,"NHS LIVERPOOL CCG"
211969,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG"
164518,"NHS MID ESSEX CCG"
134036,"NHS NORTH EAST ESSEX CCG"
349958,"NHS FRIMLEY CCG"
69006,"NHS NORTH EAST LINCOLNSHIRE CCG"
71428,"NHS NORTH LINCOLNSHIRE CCG"
80474,"NHS NORTH STAFFORDSHIRE CCG"
82720,"NHS NORTH TYNESIDE CCG"
118022,"NHS NORTHUMBERLAND CCG"
118832,"NHS OLDHAM CCG"
282790,"NHS OXFORDSHIRE CCG"
88092,"NHS PORTSMOUTH CCG"
114392,"NHS ROTHERHAM CCG"
113132,"NHS SALFORD CCG"
234994,"NHS SHEFFIELD CCG"
200918,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG"
221400,"NHS SOMERSET CCG"
87496,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG"
64504,"NHS SOUTH SEFTON CCG"
59840,"NHS SOUTH TYNESIDE CCG"
79080,"NHS SOUTHEND CCG"
43162,"NHS SOUTHPORT AND FORMBY CCG"
73570,"NHS ST HELENS CCG"
58516,"NHS STAFFORD AND SURROUNDS CCG"
126282,"NHS STOCKPORT CCG"
117828,"NHS STOKE ON TRENT CCG"
109126,"NHS SUNDERLAND CCG"
113926,"NHS TAMESIDE AND GLOSSOP CCG"
87524,"NHS THURROCK CCG"
112174,"NHS TRAFFORD CCG"
132708,"NHS VALE OF YORK CCG"
145786,"NHS WAKEFIELD CCG"
88968,"NHS WARRINGTON CCG"
137772,"NHS WEST ESSEX CCG"
44196,"NHS WEST LANCASHIRE CCG"
159276,"NHS WEST LEICESTERSHIRE CCG"
94692,"NHS WEST SUFFOLK CCG"
136776,"NHS WIGAN BOROUGH CCG"
135152,"NHS WIRRAL CCG"
195322,"NHS NEWCASTLE GATESHEAD CCG"
120036,"NHS NORTH CUMBRIA CCG"
243924,"NHS MANCHESTER CCG"
576628,"NHS BIRMINGHAM AND SOLIHULL CCG"
224470,"NHS BERKSHIRE WEST CCG"
392636,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG"
249690,"NHS BUCKINGHAMSHIRE CCG"
336352,"NHS LEEDS CCG"
68664,"NHS FYLDE AND WYRE CCG"
87150,"NHS GREATER PRESTON CCG"
121370,"NHS MORECAMBE BAY CCG"
412862,"NHS DERBY AND DERBYSHIRE CCG"
447706,"NHS DEVON CCG"
