ccg_nm,,,org_cd,pop_2019,pop_2020,region,access_2021,access_2122,mhspend_allages_1718,mhspend_allages_1819,mhspend_allages_1920,mhspend_allages_2021,mhspend_allages_2122,mhspend_perc_allocation_1718,mhspend_perc_allocation_1819,mhspend_perc_allocation_1920,mhspend_perc_allocation_2021,mhspend_perc_allocation_2122,mhspend_cyp_1718,mhspend_cyp_1819,mhspend_cyp_1920,mhspend_cyp_2021,mhspend_cyp_2122,EDspend_1718,EDspend_1819,EDspend_1920,EDspend_2021,EDspend_2122,number_referred,avg_wait_2122,perc_closed_2122,tier4_beddays,tier4_admissions,,Organisation Name,Total number of People,"Average Waiting Time (for People with Two Contacts, Days)",Number of People Waiting Between 0 and 4 Weeks,% Waiting Between 0 and 4 Weeks,Number of People Waiting Between 4 and 6 Weeks,% Waiting Between 4 and 6 Weeks,Number of People Waiting Between 6 and 8 Weeks,% Waiting Between 6 and 8 Weeks,Number of People Waiting Between 8 and 10 Weeks,% Waiting Between 8 and 10 Weeks,Number of People Waiting Between 10 and 12 Weeks,% Waiting Between 10 and 12 Weeks,Number of People Waiting Over 12 Weeks,% Waiting Over 12 Weeks,Referral Closed Before Treatment ,% Referral Closed Before Treatment ,"Number of People Still Waiting, no contact","% Still Waiting, no contact","Number of People Still Waiting, one contact","% Still Waiting, one contact",Contacts Before Referral
ENGLAND,,,,12023568,12093288,,419105,470815,10079621176,10476771526,11190603679,11937705237,12693647557,0.136096275,0.139913642,0.142048725,0.133203942,0.142400144,£640.5m,£726.1m,£799.0m,£868.7m,£927.1m,£46.7m,£49.1m,£55.1m,£61.9m,£71.9m,733756,40,32,76,1,,,,,,,,,,,,,,,,,,,,,,,
NHS BLACKBURN WITH DARWEN CCG,NHS BLACKBURN WITH DARWEN CCG,Match,00Q,38742,38653,North West,1535,1940,29706000,31704000,37041000,39571000,44805000,0.130278046,0.1387927,0.153363641,0.15810383,0.179015999,1741000,1707000,1861000,2296000,2802000,302000,198000,207000,213000,243000,3095,18,46,74,1,,NHS BARNSLEY CCG,2410,23,525,21,75,3,30,1,25,1,15,0,50,2,590,24,980,40,115,4,*
NHS BLACKPOOL CCG,NHS BLACKPOOL CCG,Match,00R,29215,29110,North West,1635,1870,35969102.26,40947800,46816111,51825168.27,53404000,0.129422094,0.154524082,0.158331567,0.075178108,0.077468377,2018270,651000,2990079,2821074,2995000,0,180000,107996,122138,156000,2730,53,36,122,2,,NHS BASILDON AND BRENTWOOD CCG,3280,37,985,29,65,1,55,1,45,1,35,1,255,7,1165,35,465,14,210,6,*
NHS CHORLEY AND SOUTH RIBBLE CCG,NHS CHORLEY AND SOUTH RIBBLE CCG,Match,00X,37075,37336,North West,1610,1575,29654000,35227000,40059000,43804110,51128290.58,0.121883452,0.145286949,0.156461522,0.164388363,0.191874598,1544000,1714000,1992000,2688321.671,3167790.3,95000,97000,99000,188165.0311,203537,2295,28,39,137,2,,NHS BASSETLAW CCG,1365,44,175,12,60,4,30,2,30,2,10,0,50,3,575,42,240,17,190,14,*
NHS EAST LANCASHIRE CCG,NHS EAST LANCASHIRE CCG,Match,01A,86075,86445,North West,3015,3610,68237000,80370000,82925683,92469318.2,95144922,0.122006472,0.145630276,0.143184909,0.15277528,0.15719584,4962000,4834000,5306268,6381185,7048328,729000,729000,749737,500906,563019,4485,17,36,292,4,,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",9460,47,1585,16,360,3,280,2,205,2,125,1,620,6,3170,33,2130,22,970,10,10
NHS FYLDE AND WYRE CCG,NHS FYLDE & WYRE CCG,,02M,34384,34807,North West,1150,1395,30670000,34174000,36743748,43173499.97,44542182.19,0.134635645,0.130227347,0.132721739,0.146453417,0.151096269,1203000,1380000,2610387,2790165,3009840.92,0,91000,172057,194580,219663.3416,1690,56,21,223,2,,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",14965,26,5085,33,485,3,235,1,185,1,145,0,580,3,3310,22,3425,22,1505,10,*
NHS GREATER PRESTON CCG,NHS GREATER PRESTON CCG,Match,01E,43993,44344,North West,1475,1655,33863000,35594000,39643000,45549687,50318218.02,0.1241681,0.13368036,0.1419441,0.155438273,0.171710882,1538000,1661000,1961000,2543883.045,2810257.09,113000,116000,118000,214925.1282,233783,2130,39,37,185,3,,NHS BERKSHIRE WEST CCG,8570,36,1360,15,280,3,145,1,130,1,120,1,340,3,1990,23,3165,36,965,11,80
NHS MORECAMBE BAY CCG,NHS MORECAMBE BAY CCG,Match,01K,60862,61104,North West,2315,3280,71021000,64051000,62134000,71461519.27,74546999,0.139367263,0.131385858,0.121052365,0.130246719,0.135870355,1090000,3791000,4000000,4564031,4691414,67000,60000,313000,776120,826869,4400,50,33,88,1,,NHS BIRMINGHAM AND SOLIHULL CCG,17380,36,2795,16,420,2,325,1,235,1,125,0,550,3,7675,44,3720,21,1530,8,5
NHS WEST LANCASHIRE CCG,NHS WEST LANCASHIRE CCG,Match,02G,22146,22254,North West,1105,1385,19955360,20245486.11,21122925,24407436.04,25613464.5,0.131274036,0.132769475,0.131886395,0.144478613,0.151617639,1175460.387,1153380.663,1508794,1688883.482,1795059.689,0,82618.4,86872,128414.7304,139802.4173,1540,37,28,759,9,,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,19550,57,1930,9,460,2,330,1,275,1,240,1,1135,5,6965,35,5465,27,2720,13,25
NHS BARNSLEY CCG,NHS BARNSLEY CCG,Match,02P,51083,51621,North East and Yorkshire,1855,1970,50987000,52966536,57263000,59791158,64069000,0.132801471,0.140345882,0.143458045,0.142161155,0.152332274,4305000,4745064,5817000,3958262,4507000,143000,146577,229000,200887,198000,2410,23,24,385,2,,NHS BLACKBURN WITH DARWEN CCG,3095,18,1050,33,110,3,50,1,25,0,20,0,45,1,1435,46,215,6,135,4,5
