"ccg","org_cd","pop_2019","pop_2020","region","access_2021","access_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","number_referred","avg_wait_2122","perc_closed_2122","Q1.2017.18","Q2.2017.18","Q3.2017.18","Q4.2017.18","Q1.2018.19","Q2.2018.19","Q3.2018.19","Q4.2018.19","Q1.2019.20","Q2.2019.20","Q3.2019.20","Q4.2019.20","Q1.2020.21","Q2.2020.21","Q3.2020.21","Q4.2020.21","Q1.2021.22","Q2.2021.22","Q3.2021.22","Q4.2021.22","Q1.2017.18.1","Q2.2017.18.1","Q3.2017.18.1","Q4.2017.18.1","Q1.2018.19.1","Q2.2018.19.1","Q3.2018.19.1","Q4.2018.19.1","Q1.2019.20.1","Q2.2019.20.1","Q3.2019.20.1","Q4.2019.20.1","Q1.2020.21.1","Q2.2020.21.1","Q3.2020.21.1","Q4.2020.21.1","Q1.2021.22.1","Q2.2021.22.1","Q3.2021.22.1","Q4.2021.22.1","Q1.2020.21.2","Q2.2020.21.2","Q3.2020.21.2","Q4.2020.21.2","Q1.2021.22.2","Q2.2021.22.2","Q3.2021.22.2","Q4.2021.22.2"
"NHS BLACKBURN WITH DARWEN CCG","00Q",38742,38653,"North West",1535,1940,29706000,31704000,37041000,39571000,44805000,0.130278046,0.1387927,0.153363641,0.15810383,0.179015999,1741000,1707000,1861000,2296000,2802000,302000,198000,207000,213000,243000,3095,18,46,238,185,"179","181","67",49,92,"82","45","138",205,"267","280","200","173",197,"21","22","93","76","","","","","","","","","","","","","","","","","","","","","*","*","*","*","*","*","*","*"
"NHS BLACKPOOL CCG","00R",29215,29110,"North West",1635,1870,35969102.26,40947800,46816111,51825168.27,53404000,0.129422094,0.154524082,0.158331567,0.075178108,0.077468377,2018270,651000,2990079,2821074,2995000,0,180000,107996,122138,156000,2730,53,36,447,213,"283","92","91",114,140,"183","147","171",221,"136","177","5","21",57,"107","94","178","74","6","*","7","6","*","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","25","*","*","*"
"NHS CHORLEY AND SOUTH RIBBLE CCG","00X",37075,37336,"North West",1610,1575,29654000,35227000,40059000,43804110,51128290.58,0.121883452,0.145286949,0.156461522,0.164388363,0.191874598,1544000,1714000,1992000,2688321.671,3167790.3,95000,97000,99000,188165.0311,203537,2295,28,39,471,382,"510","409","339",192,169,"10","*","*",79,"*","132","137","263",236,"200","240","133","122","*","*","*","*","*","6","5","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS EAST LANCASHIRE CCG","01A",86075,86445,"North West",3015,3610,68237000,80370000,82925683,92469318.2,95144922,0.122006472,0.145630276,0.143184909,0.15277528,0.15719584,4962000,4834000,5306268,6381185,7048328,729000,729000,749737,500906,563019,4485,17,36,197,384,"532","683","405",272,242,"423","376","147",273,"408","343","379","312",249,"360","83","181","137","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS FYLDE AND WYRE CCG","02M",34384,34807,"North West",1150,1395,30670000,34174000,36743748,43173499.97,44542182.19,0.134635645,0.130227347,0.132721739,0.146453417,0.151096269,1203000,1380000,2610387,2790165,3009840.92,0,91000,172057,194580,219663.3416,1690,56,21,152,220,"314","319","156",222,199,"184","270","141",100,"130","155","166","56",124,"9","174","182","292","*","7","11","8","7","*","5","6","5","*","5","7","*","8","5","7","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS GREATER PRESTON CCG","01E",43993,44344,"North West",1475,1655,33863000,35594000,39643000,45549687,50318218.02,0.1241681,0.13368036,0.1419441,0.155438273,0.171710882,1538000,1661000,1961000,2543883.045,2810257.09,113000,116000,118000,214925.1282,233783,2130,39,37,191,209,"166","247","146",251,289,"422","348","312",192,"294","182","241","281",234,"103","185","205","223","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","5","*","*"
"NHS MORECAMBE BAY CCG","01K",60862,61104,"North West",2315,3280,71021000,64051000,62134000,71461519.27,74546999,0.139367263,0.131385858,0.121052365,0.130246719,0.135870355,1090000,3791000,4e+06,4564031,4691414,67000,60000,313000,776120,826869,4400,50,33,834,1167,"1041","848","438",334,368,"447","606","485",370,"278","455","483","368",333,"278","260","139","185","7","5","*","*","*","*","5","5","7","*","*","*","*","*","*","*","*","*","*","*","*","5","*","*","*","*","*","*"
"NHS WEST LANCASHIRE CCG","02G",22146,22254,"North West",1105,1385,19955360,20245486.11,21122925,24407436.04,25613464.5,0.131274036,0.132769475,0.131886395,0.144478613,0.151617639,1175460.387,1153380.663,1508794,1688883.482,1795059.689,0,82618.4,86872,128414.7304,139802.4173,1540,37,28,182,283,"176","215","272",260,140,"319","334","228",266,"124","98","93","*",41,"13","29","*","88","11","8","9","5","*","6","*","*","10","*","5","*","*","10","6","12","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS BARNSLEY CCG","02P",51083,51621,"North East and Yorkshire",1855,1970,50987000,52966536,57263000,59791158,64069000,0.132801471,0.140345882,0.143458045,0.142161155,0.152332274,4305000,4745064,5817000,3958262,4507000,143000,146577,229000,200887,198000,2410,23,24,437,486,"756","608","753",864,811,"810","925","830",912,"814","812","876","783",647,"699","747","582","759","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","25","35","10","45","5","*","*"
"NHS BASSETLAW CCG","02Q",23500,23828,"North East and Yorkshire",540,650,20788000,21828000,23077056,24157000,26120000,0.128241035,0.136652184,0.137059125,0.136900001,0.148024507,1347000,1374000,1379000,1479000,1504000,124000,121000,119000,121000,185000,1365,44,42,289,336,"293","184","100",148,129,"93","108","60",369,"187","91","18","150",152,"93","92","264","385","*","9","5","*","10","9","5","8","5","8","*","10","7","11","*","6","6","*","5","9","*","*","*","*","*","*","*","*"
"NHS DONCASTER CCG","02X",66918,67362,"North East and Yorkshire",1905,2235,79365000,83457000,90990000,93334000,95886000,0.173995221,0.184816019,0.191455919,0.188475093,0.193628504,3052000,4923000,5259000,2796000,2266000,173000,173000,182000,138000,216000,3035,20,35,969,573,"395","551","492",266,609,"460","502","509",450,"320","182","133","92",45,"340","243","399","505","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","25","*","*"
"NHS ROTHERHAM CCG","03L",57522,57453,"North East and Yorkshire",2680,2865,52114391.75,56071000,58544747.98,58918580.84,65497750.69,0.139135706,0.154146655,0.152779766,0.144425796,0.160553167,2898990.085,3201208.033,3382787.263,2570600.23,2673441.032,139002.3716,139000.0004,139000.0005,94173.71517,78687.62911,4595,29,32,196,195,"189","342","728",449,275,"315","326","466",405,"315","115","231","297",354,"298","348","300","161","9","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","50","*","*","*"
"NHS SHEFFIELD CCG","03N",117736,118398,"North East and Yorkshire",2935,2845,139713380.4,140895823.6,151514472.9,143485812.5,159458533.2,0.179822945,0.184057729,0.18804551,0.140978533,0.156672146,4373745.02,5235204.765,7520676.301,8632623.322,8942887.929,428128,430403.6946,376732.0987,364644.7389,426174.6703,5705,40,45,2283,1555,"778","987","1186",976,1370,"1718","1515","1439",1125,"1277","1144","1167","1112",1137,"1347","1292","1309","1064","*","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
