"ccg","Period.Type","access_2021","access_2122","access_2021_1c","access_2122_1c","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","t4beddays_Q1_201718","t4beddays_Q2_201718","t4beddays_Q3_201718","t4beddays_Q4_201718","t4beddays_Q1_201819","t4beddays_Q2_201819","t4beddays_Q3_201819","t4beddays_Q4_201819","t4beddays_Q1_201920","t4beddays_Q2_201920","t4beddays_Q3_201920","t4beddays_Q4_201920","t4beddays_Q1_202021","t4beddays_Q2_202021","t4beddays_Q3_202021","t4beddays_Q4_202021","t4beddays_Q1_202122","t4beddays_Q2_202122","t4beddays_Q3_202122","t4beddays_Q4_202122","t4admissions_Q1_201718","t4admissions_Q2_201718","t4admissions_Q3_201718","t4admissions_Q4_201718","t4admissions_Q1_201819","t4admissions_Q2_201819","t4admissions_Q3_201819","t4admissions_Q4_201819","t4admissions_Q1_201920","t4admissions_Q2_201920","t4admissions_Q3_201920","t4admissions_Q4_201920","t4admissions_Q1_202021","t4admissions_Q2_202021","t4admissions_Q3_202021","t4admissions_Q4_202021","t4admissions_Q1_202122","t4admissions_Q2_202122","t4admissions_Q3_202122","t4admissions_Q4_202122","adultward_Q1_202021","adultward_Q2_202021","adultward_Q3_202021","adultward_Q4_202021","adultward_Q1_202122","adultward_Q2_202122","adultward_Q3_202122","adultward_Q4_202122","org_cd","no_referred_2122","avg_wait_days_2122","wait_0to4_weeks_2122","wait_0to4_weeks_perc_2122","wait_4to6_weeks_2122","wait_4to6_weeks_perc_2122","wait_6to8_weeks_2122","wait_6to8_weeks_perc_2122","wait_8to10_weeks_2122","wait_8to10_weeks_perc_2122","wait_10to12_weeks_2122","wait_10to12_weeks_perc_2122","wait_over12_weeks_2122","wait_over12_weeks_perc_2122","referrals_closed_number_2122","referrals_closed_2122","stillwaiting_nocontact_2122","stillwaiting_nocontact_perc_2122","stillwaiting_onecontact_2122","stillwaiting_onecontact_perc_2122","contacts_before_referral_2122","overall_score_2021","no_referred_2021","wait_0to4_weeks_2021","wait_4to6_weeks_2021","wait_6to8_weeks_2021","wait_8to10_weeks_2021","wait_10to12_weeks_2021","wait_over12_weeks_2021","referrals_closed_number_2021","stillwaiting_nocontact_2021","stillwaiting_onecontact_2021","contacts_before_referral_2021","wait_days_2021","avg_wait_days_2021","referrals_closed_2021","overall_score_1920","no_referred_1920","wait_0to4_weeks_1920","wait_4to6_weeks_1920","wait_6to8_weeks_1920","wait_8to10_weeks_1920","wait_10to12_weeks_1920","wait_over12_weeks_1920","referrals_closed_number_1920","stillwaiting_nocontact_1920","stillwaiting_onecontact_1920","contacts_before_referral_1920","wait_days_1920","avg_wait_days_1920","referrals_closed_1920","pop_2018","pop_2019","pop_2020","spc_202122","spc_202021","spc_201920","percreferred_202122","percreferred_202021","percreferred_201920","total_budget_202122","total_budget_202021","total_budget_201920","total_budget_201819","total_budget_201718","pbudget_camhs_2122","pbudget_camhs_2021","pbudget_camhs_1920","pbudget_camhs_1819","pbudget_camhs_1718","spc_2122_quintile","pbudget_2122_quintile","avgwait_2122_quintile","percreferred_2122_quintile","referralsclosed_2122_quintile","overall_score_2122"
"NHS Blackburn with Darwen CCG","Rolling 12 month",1535,1940,2005,2435,0.130278045785457,0.138792699637083,0.153363640880409,0.15810383026564,0.179015999470622,29706000,31704000,37041000,39571000,44805000,1741000,1707000,1861000,2296000,2802000,302000,198000,207000,213000,243000,238,185,179,181,67,49,92,82,45,138,205,267,280,200,173,197,21,22,93,76,6,NA,7,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00Q",3095,18,1050,33,110,3,50,1,25,0,20,0,45,1,1435,46,215,6,135,4,5,17,1555,685,95,25,15,5,35,325,85,270,5,27990,18,21,16,1930,745,65,30,20,15,60,360,160,475,0,40530,21,19,38481,38742,38653,72.4911391095128,59.4003052803146,48.0357235042073,0.0800714045481593,0.0402297363723385,0.049816736358474,250284891.476155,250284891.476154,241524000.000001,228427000,228020000.000001,0.0111952422835997,0.00917354613959489,0.00770523840280881,0.00747284690513817,0.00763529514954826,3,4,5,5,1,18
"NHS Blackpool CCG","Rolling 12 month",1635,1870,2115,2470,0.129422094497497,0.154524081768198,0.158331566807808,0.0751781082319868,0.0774683773548899,35969102.257,40947800,46816111,51825168.27,53404000,2018270,651000,2990079,2821074,2995000,0,180000,107996,122138,156000,447,213,283,92,91,114,140,183,147,171,221,136,177,5,21,57,107,94,178,74,NA,NA,NA,NA,NA,6,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,"00R",2730,53,380,13,100,3,70,2,60,2,45,1,180,6,985,36,480,17,420,15,NA,15,1985,335,80,60,45,40,200,530,305,390,0,117115,59,27,16,2265,280,65,70,60,45,250,750,265,475,0,154020,68,33,28904,29215,29110,102.885606320852,96.9108210237032,102.347390039363,0.0937822054276881,0.0681896255582274,0.0775286667807633,689365155.479523,689365155.479523,295684000.000001,264992999.999999,277920878.939999,0.0043445770013088,0.00409227820346919,0.010112413928383,0.0024566686667195,0.00726203086179692,5,1,1,5,2,14
"NHS Chorley and South Ribble CCG","Rolling 12 month",1610,1575,2145,2505,0.12188345156968,0.145286948631761,0.156461522237542,0.164388363375496,0.191874598303798,29654000,35227000,40059000,43804109.9999938,51128290.578,1544000,1714000,1992000,2688321.671082,3167790.3,95000,97000,99000,188165.0310706,203537,471,382,510,409,339,192,169,10,NA,NA,79,NA,132,137,263,236,200,240,133,122,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00X",2295,28,425,18,40,1,20,0,20,0,15,0,70,2,900,39,440,19,365,15,NA,14,1495,290,40,25,15,20,180,310,320,295,0,80730,54,21,8,1650,200,30,20,10,10,100,595,395,290,0,107250,65,36,36871,37075,37336,84.8454655024641,72.0034730844761,53.7289278489548,0.0614688236554532,0.040041782729805,0.0445043830074174,266467218.850136,266467218.850135,256030999.999999,242465000,243298000,0.0118881050872588,0.0100887519398548,0.00778030785334591,0.00706906151403294,0.00634612697186167,4,4,4,3,2,17
"NHS East Lancashire CCG","Rolling 12 month",3015,3610,3940,4830,0.122006472491909,0.145630276311569,0.143184908598966,0.15277528021465,0.157195839678228,68237000,80370000,82925683,92469318.204,95144922,4962000,4834000,5306268,6381185,7048328,729000,729000,749737,500906,563019,197,384,532,683,405,272,242,423,376,147,273,408,343,379,312,249,360,83,181,137,NA,7,11,8,7,NA,5,6,5,NA,5,7,NA,8,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01A",4485,17,1955,43,175,3,70,1,55,1,40,0,65,1,1625,36,280,6,220,4,NA,18,2780,1350,125,40,25,20,80,675,175,275,15,52820,19,24,16,3195,1175,150,60,40,40,70,940,230,495,0,70290,22,29,85652,86075,86445,81.535404014113,73.8178610677309,61.6470287539936,0.0518826999826479,0.0321591763549077,0.0371187917513796,605263613.812916,605263613.812916,579151000.000002,551877000.000002,559290000.000002,0.011645054880465,0.010542819449861,0.00916214942217139,0.00875919815466125,0.00887196266695272,4,4,5,2,2,17
"NHS Fylde and Wyre CCG","Rolling 12 month",1150,1395,1740,2015,0.134635645302897,0.130227347209414,0.132721739004797,0.146453416743162,0.151096269137347,30670000,34174000,36743748,43173499.97,44542182.191,1203000,1380000,2610387,2790165,3009840.9204,0,91000,172057,194580,219663.34161,152,220,314,319,156,222,199,184,270,141,100,130,155,166,56,124,9,174,182,292,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02M",1690,56,240,14,55,3,45,2,35,1,30,1,130,7,355,21,520,30,285,16,NA,14,1515,250,50,50,50,45,190,340,240,290,0,95445,63,22,15,1680,165,35,40,40,30,255,480,215,420,0,146160,87,29,34332,34384,34807,86.4722877697015,80.1610308271325,75.918654025128,0.0485534518918608,0.043525727583532,0.0488599348534202,294793395.265842,294793395.265842,276848000,262418000,227800000,0.0102100012033368,0.00946481517160131,0.00942895379413975,0.00525878560159745,0.00528094820017558,4,4,1,1,5,15
"NHS Greater Preston CCG","Rolling 12 month",1475,1655,2115,2455,0.124168099765693,0.133680359946218,0.141944100312941,0.155438273329949,0.171710881922587,33863000,35594000,39643000,45549687.0000055,50318218.02,1538000,1661000,1961000,2543883.044514,2810257.09,113000,116000,118000,214925.1281673,233783,191,209,166,247,146,251,289,422,348,312,192,294,182,241,281,234,103,185,205,223,7,5,NA,NA,NA,NA,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,"01E",2130,39,415,19,65,3,50,2,35,1,25,1,110,5,800,37,385,17,240,11,NA,10,1605,315,40,40,25,20,120,400,285,355,0,80250,50,25,6,1575,170,30,15,10,10,110,640,310,270,5,108675,69,41,43575,43993,44344,63.3740097871189,57.3670179621595,44.5752733389403,0.0480335558361898,0.0361942991160022,0.0358011501829837,293040356.304763,293040356.304764,279286000,266262000.000001,272719000,0.00959000024923981,0.00868099901526309,0.00702147619286324,0.00623821649352891,0.00563950439830009,2,3,3,1,2,11
"NHS Morecambe Bay CCG","Rolling 12 month",2315,3280,3250,4710,0.139367263479305,0.131385858138309,0.121052364976757,0.130246718684929,0.135870355208083,71021000,64051000,62134000,71461519.27467,74546999,1090000,3791000,4e+06,4564031,4691414,67000,60000,313000,776120,826869,834,1167,1041,848,438,334,368,447,606,485,370,278,455,483,368,333,278,260,139,185,11,8,9,5,NA,6,NA,NA,10,NA,5,NA,NA,10,6,12,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"01K",4400,50,825,18,95,2,60,1,45,1,45,0,355,8,1460,33,765,17,740,16,10,13,3020,550,80,65,50,55,240,700,805,470,0,147980,49,23,15,3220,455,55,35,50,50,230,895,720,730,0,173880,54,28,60685,60862,61104,76.7775268394868,74.6928351662739,65.7224540764352,0.0720083791568473,0.0494239329667452,0.0529065755315303,548662722.533054,548662722.533054,513282000.000002,487503000,509596000.000001,0.00855063376338159,0.00831846380765378,0.00779298709091686,0.00777636240187241,0.00213894928531621,3,2,2,4,3,14
"NHS West Lancashire CCG","Rolling 12 month",1105,1385,1540,1900,0.131274035773256,0.132769474645279,0.131886394855145,0.144478613445935,0.151617639419142,19955360,20245486.11076,21122925,24407436.03614,25613464.497,1175460.3869,1153380.6631,1508794,1688883.4815,1795059.689,0,82618.4,86872,128414.73044,139802.41734,182,283,176,215,272,260,140,319,334,228,266,124,98,93,NA,41,13,29,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02G",1540,37,345,22,90,5,45,2,30,1,25,1,80,5,430,28,320,20,170,11,NA,15,1065,220,45,35,20,15,110,270,170,175,0,51120,48,25,14,1055,135,10,20,10,10,80,375,230,180,0,58025,55,36,22098,22146,22254,80.6623388604296,75.8912322054462,68.1294138896415,0.0692010425092118,0.04785656511189,0.0476383997110088,168934594.913409,168934594.913409,160160000,152486000,152013000,0.0106257672676227,0.00999726244565641,0.00942054195804197,0.00756384627506788,0.00773263067566588,4,4,3,4,4,19
"NHS Barnsley CCG","Rolling 12 month",1855,1970,1990,2280,0.132801471086176,0.140345882352941,0.143458044603444,0.142161155000503,0.152332273606864,50987000,52966536,57263000,59791158,64069000,4305000,4745064,5817000,3958262,4507000,143000,146577,229000,200887,198000,437,486,756,608,753,864,811,810,925,830,912,814,812,876,783,647,699,747,582,759,NA,9,5,NA,10,9,5,8,5,8,NA,10,7,11,NA,6,6,NA,5,9,NA,25,35,10,45,5,NA,NA,"02P",2410,23,525,21,75,3,30,1,25,1,15,0,50,2,590,24,980,40,115,4,NA,16,1585,500,40,25,5,5,45,645,245,75,0,34870,22,41,17,1620,445,55,45,35,20,65,680,190,85,0,46980,29,42,50727,51083,51621,87.3094283334302,76.6792971852541,113.873499990212,0.0466864260669108,0.0307045582224289,0.0317130943758197,420587170.945455,420587170.945456,399162000.000001,377400000.000001,383934000.000001,0.0107159711739864,0.00941127612404833,0.0145730304988952,0.0125730365659777,0.0112128647111222,4,4,5,1,5,19
"NHS Bassetlaw CCG","Rolling 12 month",540,650,840,1060,0.128241034910334,0.136652184256326,0.137059124681511,0.136900000987164,0.148024507421647,20788000,21828000,23077056,24157000,26120000,1347000,1374000,1379000,1479000,1504000,124000,121000,119000,121000,185000,289,336,293,184,100,148,129,93,108,60,369,187,91,18,150,152,93,92,264,385,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02Q",1365,44,175,12,60,4,30,2,30,2,10,0,50,3,575,42,240,17,190,14,NA,11,800,160,15,10,5,5,40,230,195,135,0,32800,41,29,11,850,155,15,10,10,15,70,280,170,125,0,42500,50,33,23224,23500,23828,63.1190196407588,62.0698338089642,58.6808510638298,0.0572855464159812,0.0335739466174249,0.0361702127659574,176457266.806484,176457266.806485,168373000,159734000,162101000,0.00852331007512087,0.00838163271349984,0.00819014925195847,0.00860180049332013,0.00830963411700115,2,2,2,3,1,10
